Energy_Mo [MeV],u_Mo [cm²/g],Energy_Mo [eV],Energy_Zr [MeV],u_Zr[cm²/g],Energy_Zr [eV],Energy_Ag [MeV],u_Ag [cm²/g],Energy_Ag [eV],Energy_Al [MeV],u_Al [cm²/g],Energy_Al [eV]
"0,0010000","4942,0000",1000,"0,00","4210,0000",1000,"0,00","7039,0000",1000,"0,00","1185,0000",1000
"0,0015000","1925,0000",1500,"0,00","1631,0000",1500,"0,00","2790,0000",1500,"0,00","402,2000",1500
"0,0020000","959,3000",2000,"0,00","811,5000",2000,"0,00","1401,0000",2000,"0,00","362,1000",1560
"0,0025202","541,5000",2520,"0,00","625,8000",2222,"0,00","513,6000",3000,"0,00","3957,0000",1560
"0,0025202","1979,0000",2520,"0,00","2392,0000",2222,"0,00","388,7000",3351,"0,00","2263,0000",2000
"0,0025721","1854,0000",2572,"0,00","2239,0000",2264,"0,00","1274,0000",3351,"0,00","788,0000",3000
"0,0026251","1750,0000",2625,"0,00","2120,0000",2307,"0,00","1200,0000",3436,"0,00","360,5000",4000
"0,0026251","2433,0000",2625,"0,00","2953,0000",2307,"0,00","1126,0000",3524,"0,01","193,4000",5000
"0,0027427","2183,0000",2743,"0,00","2641,0000",2417,"0,00","1547,0000",3524,"0,01","115,3000",6000
"0,0028655","1961,0000",2866,"0,00","2359,0000",2532,"0,00","1409,0000",3662,"0,01","50,3300",8000
"0,0028655","2243,0000",2866,"0,00","2691,0000",2532,"0,00","1282,0000",3806,"0,01","26,2300",10000
"0,0030000","2011,0000",3000,"0,00","1772,0000",3000,"0,00","1468,0000",3806,"0,02","7,9550",15000
"0,0040000","970,3000",4000,"0,00","850,7000",4000,"0,00","1305,0000",4000,"0,02","3,4410",20000
"0,0050000","545,0000",5000,"0,01","475,5000",5000,"0,01","738,5000",5000,"0,03","1,1280",30000
"0,0060000","337,3000",6000,"0,01","293,5000",6000,"0,01","461,0000",6000,"0,04","0,5685",40000
"0,0080000","156,5000",8000,"0,01","135,6000",8000,"0,01","216,4000",8000,"0,05","0,3681",50000
"0,0100000","85,7600",10000,"0,01","74,1700",10000,"0,01","119,3000",10000,"0,06","0,2778",60000
"0,0150000","28,5400",15000,"0,02","24,6300",15000,"0,02","39,9800",15000,"0,08","0,2018",80000
"0,0199995","13,0800",20000,"0,02","15,0100",17998,"0,02","18,3600",20000,"0,10","0,1704",100000
"0,0199995","80,5500",20000,"0,02","94,7000",17998,"0,03","9,5270",25514,"0,15","0,1378",150000
"0,0200000","80,5400",20000,"0,02","72,3700",20000,"0,03","55,3900",25514,"0,20","0,1223",200000
"0,0300000","28,1000",30000,"0,03","24,8500",30000,"0,03","36,6800",30000,"0,30","0,1042",300000
"0,0400000","12,9400",40000,"0,04","11,3900",40000,"0,04","17,2000",40000,"0,40","0,0928",400000
"0,0500000","7,0370",50000,"0,05","6,1730",50000,"0,05","9,4440",50000,"0,50","0,0845",500000
"0,0600000","4,2740",60000,"0,06","3,7440",60000,"0,06","5,7660",60000,"0,60","0,0780",600000
"0,0800000","1,9620",80000,"0,08","1,7210",80000,"0,08","2,6510",80000,"0,80","0,0684",800000
"0,1000000","1,0960",100000,"0,10","0,9658",100000,"0,10","1,4700",100000,"1,00","0,0615",1000000
"0,1500000","0,4208",150000,"0,15","0,3790",150000,"0,15","0,5426",150000,"1,25","0,0550",1250000
"0,2000000","0,2423",200000,"0,20","0,2237",200000,"0,20","0,2972",200000,"1,50","0,0501",1500000
"0,3000000","0,1379",300000,"0,30","0,1318",300000,"0,30","0,1560",300000,"2,00","0,0432",2000000
"0,4000000","0,1047",400000,"0,40","0,1018",400000,"0,40","0,1131",400000,"3,00","0,0354",3000000
"0,5000000","0,0885",500000,"0,50","0,0869",500000,"0,50","0,0932",500000,"4,00","0,0311",4000000
"0,6000000","0,0785",600000,"0,60","0,0776",600000,"0,60","0,0815",600000,"5,00","0,0284",5000000
"0,8000000","0,0662",800000,"0,80","0,0657",800000,"0,80","0,0677",800000,"6,00","0,0266",6000000
"1,0000000","0,0584",1000000,"1,00","0,0581",1000000,"1,00","0,0592",1000000,"8,00","0,0244",8000000
"1,2500000","0,0517",1250000,"1,25","0,0515",1250000,"1,25","0,0522",1250000,"10,00","0,0232",10000000
"1,5000000","0,0471",1500000,"1,50","0,0470",1500000,"1,50","0,0475",1500000,"15,00","0,0220",15000000
"2,0000000","0,0416",2000000,"2,00","0,0415",2000000,"2,00","0,0421",2000000,"20,00","0,0217",20000000
