u_Mo [cm²/g]	Energy_Mo [eV]	u_Zr[cm²/g]	Energy_Zr [eV]	u_Ag [cm²/g]	Energy_Ag [eV]	u_Al [cm²/g]	Energy_Al [eV]
4942.000000	1000.000000	4210.000000	1000.000000	7039.000000	1000.000000	1185.000000	1000.000000
1925.000000	1500.000000	1631.000000	1500.000000	2790.000000	1500.000000	402.200000	1500.000000
959.300000	2000.000000	811.500000	2000.000000	1401.000000	2000.000000	362.100000	1559.600000
541.500000	2520.200000	625.800000	2222.300000	513.600000	3000.000000	3957.000000	1559.600000
1979.000000	2520.200000	2392.000000	2222.300000	388.700000	3351.100000	2263.000000	2000.000000
1854.000000	2572.120000	2239.000000	2264.110000	1274.000000	3351.100000	788.000000	3000.000000
1750.000000	2625.100000	2120.000000	2306.700000	1200.000000	3436.320000	360.500000	4000.000000
2433.000000	2625.100000	2953.000000	2306.700000	1126.000000	3523.700000	193.400000	5000.000000
2183.000000	2742.670000	2641.000000	2416.540000	1547.000000	3523.700000	115.300000	6000.000000
1961.000000	2865.500000	2359.000000	2531.600000	1409.000000	3662.030000	50.330000	8000.000000
2243.000000	2865.500000	2691.000000	2531.600000	1282.000000	3805.800000	26.230000	10000.000000
2011.000000	3000.000000	1772.000000	3000.000000	1468.000000	3805.800000	7.955000	15000.000000
970.300000	4000.000000	850.700000	4000.000000	1305.000000	4000.000000	3.441000	20000.000000
545.000000	5000.000000	475.500000	5000.000000	738.500000	5000.000000	1.128000	30000.000000
337.300000	6000.000000	293.500000	6000.000000	461.000000	6000.000000	0.568500	40000.000000
156.500000	8000.000000	135.600000	8000.000000	216.400000	8000.000000	0.368100	50000.000000
85.760000	10000.000000	74.170000	10000.000000	119.300000	10000.000000	0.277800	60000.000000
28.540000	15000.000000	24.630000	15000.000000	39.980000	15000.000000	0.201800	80000.000000
13.080000	19999.500000	15.010000	17997.600000	18.360000	20000.000000	0.170400	100000.000000
80.550000	19999.500000	94.700000	17997.600000	9.527000	25514.000000	0.137800	150000.000000
80.540000	20000.000000	72.370000	20000.000000	55.390000	25514.000000	0.122300	200000.000000
28.100000	30000.000000	24.850000	30000.000000	36.680000	30000.000000	0.104200	300000.000000
12.940000	40000.000000	11.390000	40000.000000	17.200000	40000.000000	0.092760	400000.000000
7.037000	50000.000000	6.173000	50000.000000	9.444000	50000.000000	0.084450	500000.000000
4.274000	60000.000000	3.744000	60000.000000	5.766000	60000.000000	0.078020	600000.000000
1.962000	80000.000000	1.721000	80000.000000	2.651000	80000.000000	0.068410	800000.000000
1.096000	100000.000000	0.965800	100000.000000	1.470000	100000.000000	0.061460	1000000.000000
0.420800	150000.000000	0.379000	150000.000000	0.542600	150000.000000	0.054960	1250000.000000
0.242300	200000.000000	0.223700	200000.000000	0.297200	200000.000000	0.050060	1500000.000000
0.137900	300000.000000	0.131800	300000.000000	0.156000	300000.000000	0.043240	2000000.000000
0.104700	400000.000000	0.101800	400000.000000	0.113100	400000.000000	0.035410	3000000.000000
0.088480	500000.000000	0.086930	500000.000000	0.093210	500000.000000	0.031060	4000000.000000
0.078510	600000.000000	0.077560	600000.000000	0.081530	600000.000000	0.028360	5000000.000000
0.066190	800000.000000	0.065710	800000.000000	0.067660	800000.000000	0.026550	6000000.000000
0.058370	1000000.000000	0.058100	1000000.000000	0.059210	1000000.000000	0.024370	8000000.000000
0.051670	1250000.000000	0.051500	1250000.000000	0.052170	1250000.000000	0.023180	10000000.000000
0.047130	1500000.000000	0.047000	1500000.000000	0.047540	1500000.000000	0.021950	15000000.000000
0.041630	2000000.000000	0.041460	2000000.000000	0.042090	2000000.000000	0.021680	20000000.000000
