Energia[eV]	A_Mo	A_Zr	A_Ag	A_Al	Atenuação_Mo	Atenuação_Zr	Atenuação_Ag	Atenuação_Al
50398	1.75	0.67	2.05	1.87	-982.6748191018783	5.767109580232484	9.45975798178593	0.3607485646216186
48461	2.55	0.72	1.95	2.27	4881.076281854991	8.069352467026727	9.210761717409687	0.4005150622370716
46667	1.87	0.76	2.21	1.95	11133.79889186305	10.527563923868108	8.946217562172942	0.4432315605661223
45002	1.75	0.68	1.68	1.87	15458.847519859928	12.506174199682993	9.175573022833644	0.4835435970171066
43451	1.91	0.75	1.71	1.95	16446.870716816604	13.617024264140516	10.206647581184948	0.5181295857857778
42004	1.65	0.62	1.87	2.15	13298.679005909262	13.636062030011875	12.20825675512707	0.5449484213255782
40650	2.55	0.64	2.1	1.38	5631.75651252372	12.45406434102922	15.25838740364178	0.5629401385950782
39381	1.83	0.68	1.79	1.62	-6572.443156383376	10.060852747656131	19.353718659067233	0.5718619348643774
38189	2.15	0.6	1.45	1.53	-21481.89796289245	6.967485281259852	24.102349728988106	0.576436988277639
37067	1.75	0.68	1.62	1.18	-36181.01599083384	3.9899479371615882	28.8844480851766	0.5842851969190228
36009	1.14	0.58	1.87	1.02	-48575.175341690956	1.71229507268359	33.251679229895664	0.6007820778894079
35010	0.91	0.38	1.33	0.82	-57243.382026400745	0.5282392992266465	36.896363799133354	0.6294612081312811
34065	0.53	0.18	0.82	0.42	-61271.04989842525	0.6896144197655375	39.61831209295958	0.6725223635780648
33170	0.31	0.09	0.38	0.14	-60108.928762508614	2.344936166568167	41.29347513810085	0.7311639379838053
32321	0.21	0.05	0.19	0.06	-53478.66003962134	5.56736538369548	41.85606981301925	0.8058945539383722
31514	0.19	0.04	0.12	0.03	-41285.23618745005	10.379564326277388	41.280466488750065	0.8967781374664557
30747	0.19	0.03	0.11	0.02	-23600.45076269343	16.75475513077971	39.57252010422318	1.003326656541591
30016	0.18	0.03	0.09	0.02	-548.8726190909629	24.655774654932543	36.75561112333813	1.1251000430318496
29319	0.21	0.03	0.1	0.02	27245.530985422447	33.908078658176564	32.95264014441973	1.260541965774884
28654	0.24	0.03	0.1	0.01	57635.98112518782	43.93116400284466	28.601876662983397	1.4052968563799262
28019	0.27	0.02	0.11	0.01	88556.32033878456	54.166321943766185	24.126049870535137	1.5551646762517828
27411	0.29	0.03	0.11	0.01	118477.97751662512	64.20228277813052	19.841177869641232	1.7071220455221134
26829	0.35	0.03	0.13	0.01	146161.30993621238	73.69916973263895	15.998564760192833	1.8584096792727511
26271	0.41	0.03	0.08	0.01	170724.1857153182	82.41653952770507	12.779669419479504	2.0071174106236476
25736	0.56	0.03	0.04	0.01	191488.112779179	90.16525775389081	10.321408847573924	2.151566285069539
25223	0.6	0.03	0.02	0.01	207983.48567165027	96.81229937166908	8.710113437100407	2.290479289094311
24730	0.68	0.03	0.02	0.01	219930.82677915858	102.2806161931884	7.872521440760172	2.4231846376290593
24255	0.83	0.04	0.02	0.01	227149.12485992146	106.52100960823677	7.645766924877659	2.5492727993746787
23799	0.79	0.04	0.02	0.01	229517.99346179015	109.48637258493278	7.891067607619597	2.667760085633742
23359	0.95	0.04	0.02	0.01	227034.65682955025	111.18167545190184	8.492645790692126	2.7788913742045374
22936	1.04	0.05	0.02	0.01	219755.72589582027	111.60754521440427	9.350889929540598	2.8820334563979193
22528	1.2	0.05	0.02	0.01	207766.14894780837	110.78892550607856	10.386800546043268	2.9774290207317766
22134	1.47	0.06	0.02	0.02	191174.8376094192	108.75273181808791	11.534518450448289	3.0651504212568725
21753	1.31	0.06	0.02	0.02	170101.41261348128	105.52956808184643	12.74001505231796	3.14533281445123
21386	1.15	0.07	0.03	0.02	144816.75315730594	101.17795721038765	13.952402509448955	3.2177730096925585
21031	1.29	0.08	0.03	0.02	115424.6683644164	95.73148704672694	15.138910474228275	3.2829359527238764
20687	0.69	0.08	0.03	0.02	82061.1823532779	89.22701004622081	16.270710609162535	3.3410841214934837
20355	0.14	0.09	0.03	0.02	45076.200763303576	81.74470213943891	17.3184297877497	3.392188509044328
20033	0.04	0.08	0.02	0.01	4507.487263697191	73.303111156628	18.26744481131966	3.4367273378484593
19721	0.02	0.06	0.02	0.01	-34003.811972249896	64.03028787503811	19.106808893751335	3.4756869380937494
19419	0.02	0.06	0.02	0.01	-63262.05252106073	54.405586214843986	19.85931857844739	3.514200571052127
19126	0.03	0.08	0.02	0.01	-84669.84006998484	44.91658175507617	20.556906155905732	3.5580230432637965
18842	0.05	0.16	0.04	0.02	-99435.63833043975	35.9953187243514	21.224272111517497	3.6117635862656616
18566	0.06	0.16	0.05	0.03	-108667.41803779104	27.968831906057293	21.88445341851835	3.6793698107099844
18298	0.07	0.1	0.05	0.03	-113285.86271152722	21.132555252874944	22.55468364843493	3.763877429145148
18038	0.07	0.04	0.05	0.03	-114115.11563885247	15.722549445858087	23.2490549517533	3.867603154427199
17786	0.03	0.01	0.02	0.01	-111888.94344116784	11.877478215741077	23.978751166497936	3.9922003768984706
17540	0.02	0.01	0.01	0.01	-107209.65620256269	9.415953740079324	24.75892366000401	4.140028115178664
17301	0.02	0.01	0.01	0.01	-100633.37198919481	8.112037133445103	25.593995191687018	4.311517892966411
17068	0.03	0.01	0.02	0.01	-92611.33216304932	7.747754235960223	26.49317545681379	4.507991156685726
16842	0.09	0.02	0.05	0.03	-83599.97778166654	8.135272632915761	27.456520003720087	4.7287996361319795
16622	0.14	0.03	0.1	0.04	-73930.13932388338	9.107847145429462	28.490593520354132	4.974750305763482
16407	0.17	0.04	0.11	0.05	-63871.220546357734	10.527963832363227	29.602295216312594	5.24689331639063
16198	0.2	0.04	0.12	0.05	-53743.98655965662	12.263144568161671	30.787412211983813	5.543613910559455
