Energia[eV]	A_Mo	A_Zr	A_Ag	A_Al
50398	1.75	0.67	2.05	1.87
48461	2.55	0.72	1.95	2.27
46667	1.87	0.76	2.21	1.95
45002	1.75	0.68	1.68	1.87
43451	1.91	0.75	1.71	1.95
42004	1.65	0.62	1.87	2.15
40650	2.55	0.64	2.10	1.38
39381	1.83	0.68	1.79	1.62
38189	2.15	0.60	1.45	1.53
37067	1.75	0.68	1.62	1.18
36009	1.14	0.58	1.87	1.02
35010	0.91	0.38	1.33	0.82
34065	0.53	0.18	0.82	0.42
33170	0.31	0.09	0.38	0.14
32321	0.21	0.05	0.19	0.06
31514	0.19	0.04	0.12	0.03
30747	0.19	0.03	0.11	0.02
30016	0.18	0.03	0.09	0.02
29319	0.21	0.03	0.10	0.02
28654	0.24	0.03	0.10	0.01
28019	0.27	0.02	0.11	0.01
27411	0.29	0.03	0.11	0.01
26829	0.35	0.03	0.13	0.01
26271	0.41	0.03	0.08	0.01
25736	0.56	0.03	0.04	0.01
25223	0.60	0.03	0.02	0.01
24730	0.68	0.03	0.02	0.01
24255	0.83	0.04	0.02	0.01
23799	0.79	0.04	0.02	0.01
23359	0.95	0.04	0.02	0.01
22936	1.04	0.05	0.02	0.01
22528	1.20	0.05	0.02	0.01
22134	1.47	0.06	0.02	0.02
21753	1.31	0.06	0.02	0.02
21386	1.15	0.07	0.03	0.02
21031	1.29	0.08	0.03	0.02
20687	0.69	0.08	0.03	0.02
20355	0.14	0.09	0.03	0.02
20033	0.04	0.08	0.02	0.01
19721	0.02	0.06	0.02	0.01
19419	0.02	0.06	0.02	0.01
19126	0.03	0.08	0.02	0.01
18842	0.05	0.16	0.04	0.02
18566	0.06	0.16	0.05	0.03
18298	0.07	0.10	0.05	0.03
18038	0.07	0.04	0.05	0.03
17786	0.03	0.01	0.02	0.01
17540	0.02	0.01	0.01	0.01
17301	0.02	0.01	0.01	0.01
17068	0.03	0.01	0.02	0.01
16842	0.09	0.02	0.05	0.03
16622	0.14	0.03	0.10	0.04
16407	0.17	0.04	0.11	0.05
16198	0.20	0.04	0.12	0.05
15994	0.21	0.04	0.13	0.06
15796	0.22	0.04	0.14	0.06
15602	0.23	0.04	0.15	0.06
15413	0.27	0.05	0.18	0.06
15228	0.30	0.05	0.17	0.06
15048	0.31	0.05	0.19	0.06
14873	0.32	0.05	0.19	0.06
14701	0.36	0.05	0.21	0.06
14533	0.38	0.05	0.22	0.06
14369	0.43	0.06	0.25	0.06
14209	0.43	0.06	0.24	0.06
14053	0.45	0.07	0.26	0.06
13899	0.60	0.07	0.30	0.06
13750	0.55	0.07	0.28	0.07
13603	0.56	0.07	0.31	0.06
13460	0.59	0.07	0.33	0.07
13319	0.78	0.08	0.38	0.07
13182	0.74	0.08	0.39	0.07
13047	0.69	0.09	0.39	0.07
12915	0.89	0.10	0.37	0.07
12786	0.71	0.09	0.21	0.07
12660	0.71	0.10	0.15	0.08
12536	0.79	0.10	0.11	0.08
12414	0.78	0.11	0.10	0.08
12295	0.75	0.11	0.10	0.08
12178	0.74	0.11	0.11	0.08
12063	0.86	0.12	0.12	0.08
11951	0.98	0.12	0.11	0.09
11840	0.82	0.13	0.12	0.08
11732	0.88	0.13	0.12	0.09
11625	0.92	0.14	0.13	0.08
11521	0.92	0.14	0.13	0.09
11419	0.87	0.15	0.12	0.09
11318	0.91	0.17	0.13	0.10
11219	0.98	0.18	0.12	0.10
11122	0.95	0.18	0.13	0.10
11026	1.04	0.19	0.13	0.10
10933	0.97	0.20	0.14	0.10
10840	0.94	0.20	0.14	0.11
10750	1.04	0.19	0.14	0.11
10661	1.15	0.20	0.15	0.11
10573	1.02	0.21	0.16	0.11
